phrase,class
I want to withdraw 30$ ,WD
I want to get 30$,WD
Please give me 50$,WD
Dispense 100$,WD
lend me 40$,WD
40$ from savings account,WD
let out 70$ from the checking account,WD
I need 80$ on credit,WD
please give me 30 bucks,WD
give me some money,WD
money please,WD
30$,WD
40$ please,WD
grant 50$,WD
give me some cash,WD
give some 50$ notes,WD
60$ notes,WD
need some money,WD
need 90$,WD
hand me some money,WD
hand me 10$,WD
give 30$,WD
need currency,WD
give me some monies,WD
lend me some monies,WD
need some bills,WD
get me some bills,WD
dispense 50$ bills,WD
give 30$ bill,WD
provide 40$,WD
provide some money,WD
provide cash,WD
provide some bucks,WD
withdraw some money,WD
withdraw 70$,WD
withdraw few bills,WD
withdraw some bills,WD
withdraw some bucks,WD
withdraw few dollars,WD
withdraw cash,WD
give some USD,WD
40 USD please,WD
50 USD,WD
dispense some bills,WD
dispense some bucks,WD
dispense some cash,WD
cash please,WD
30$ cash,WD
get me some amount,WD
dispense some amount ,WD
deposit these bills,DP
deposit 40$,DP
put these bills on my account,DP
take these bills and put into my checking account,DP
accept these bills,DP
deposit 1300$ onto my savings account,DP
put 400$ on to my savings account,DP
Could you please deposit these amount,DP
pay to my credit account,DP
I need to pay my credit card bill,DP
pay my debt,DP
Need to deposit money,DP
need to deposit cash,DP
I want to put money into my account,DP
I want to deposit money to my account,DP
I want to put some money on my account,DP
I want to increase my account balance,DP
take some money,DP
I have some money,DP
I have got some money to deposit,DP
Please get some money from me,DP
could you please take some money from me,DP
could you please process my bills,DP
take my cash,DP
take these bills,DP
could you please take these bills,DP
receive my cash,DP
could you please accept my cash,DP
accept my bills,DP
accept some money,DP
my pockets are empty,WD
I am poor,WD
My pockets are full,DP
put out some cash,WD
put out some cash,WD
put out some cash,WD
need some cash,DP
need some cash,DP
take in some cash,DP
take in some cash,DP
take in some cash,DP
give all you have,WD
how about some cash,WD
i want to empty my pockets,DP
